RANK,PLAYER,PASSING CMP,PASSING ATT,PASSING PCT,PASSING YDS,PASSING Y/A,PASSING TD,PASSING INT,PASSING SACKS,RUSHING ATT,RUSHING YDS,RUSHING TD,FL,G,FPTS,FPTS/G,ROST,POS
1,Josh Allen (BUF),409,646,63.3,4407,6.8,36,15,26,122,763,6,3,17,417.7,24.6,100.0%,QB
2,Justin Herbert (LAC),443,672,65.9,5014,7.5,38,15,31,63,302,3,1,17,395.6,23.3,98.8%,QB
3,Tom Brady (FA),485,719,67.5,5316,7.4,43,12,22,28,81,2,3,17,386.7,22.7,99.1%,QB
4,Patrick Mahomes II (KC),436,658,66.3,4828,7.3,37,13,28,66,381,2,4,17,374.2,22.0,100.0%,QB
5,Matthew Stafford (LAR),404,601,67.2,4886,8.1,41,17,30,32,43,0,2,17,346.8,20.4,97.2%,QB
6,Aaron Rodgers (GB),366,531,68.9,4115,7.7,37,4,30,33,101,3,0,16,337.3,21.1,97.4%,QB
7,Dak Prescott (DAL),410,596,68.8,4449,7.5,37,10,30,48,146,1,6,16,330.4,20.7,98.2%,QB
8,Joe Burrow (CIN),366,520,70.4,4611,8.9,34,14,51,40,118,2,2,16,328.1,20.5,88.3%,QB
9,Jalen Hurts (PHI),265,432,61.3,3144,7.3,16,9,26,139,784,10,2,15,321.2,21.4,94.4%,QB
10,Kyler Murray (ARI),333,481,69.2,3787,7.9,24,10,31,88,423,5,0,14,310.5,22.2,99.3%,QB
11,Kirk Cousins (MIN),372,561,66.3,4221,7.5,33,7,28,29,115,1,2,16,307.3,19.2,70.7%,QB
12,Ryan Tannehill (TEN),357,531,67.2,3734,7.0,21,14,47,55,270,7,4,17,282.3,16.6,62.7%,QB
13,Derek Carr (LV),428,626,68.4,4804,7.7,23,14,40,40,108,0,5,17,270.6,15.9,58.1%,QB
14,Carson Wentz (IND),322,516,62.4,3563,6.9,27,7,32,57,215,1,5,17,264.9,15.6,44.0%,QB
15,Lamar Jackson (BAL),246,382,64.4,2882,7.5,16,13,38,134,767,2,3,12,253.0,21.1,94.0%,QB
16,Russell Wilson (SEA),259,400,64.8,3113,7.8,25,6,33,43,183,2,1,14,248.7,17.8,90.4%,QB
17,Jimmy Garoppolo (SF),301,441,68.3,3810,8.6,20,12,29,38,51,3,3,15,239.5,16.0,23.3%,QB
18,Mac Jones (NE),352,521,67.6,3801,7.3,22,13,28,44,129,0,3,17,238.0,14.0,28.5%,QB
19,Taylor Heinicke (WAS),321,494,65.0,3419,6.9,20,15,38,60,313,1,2,16,237.7,14.9,21.2%,QB
20,Matt Ryan (ATL),375,560,67.0,3968,7.1,20,12,40,40,82,1,4,17,234.8,13.8,36.3%,QB
21,Ben Roethlisberger (FA),390,605,64.5,3740,6.2,22,10,38,20,5,1,5,16,228.0,14.3,23.8%,QB
22,Trevor Lawrence (JAC),359,602,59.6,3641,6.0,12,17,32,73,334,2,5,17,216.0,12.7,23.9%,QB
23,Teddy Bridgewater (DEN),285,426,66.9,3052,7.2,18,7,31,30,106,2,1,14,209.8,15.0,15.6%,QB
24,Jared Goff (DET),332,494,67.2,3245,6.6,19,8,35,17,87,0,6,14,202.4,14.5,5.3%,QB
25,Baker Mayfield (CLE),253,418,60.5,3010,7.2,17,13,43,37,134,1,3,14,193.8,13.8,26.4%,QB
26,Tua Tagovailoa (MIA),263,388,67.8,2653,6.8,16,10,20,42,128,3,1,13,190.9,14.7,44.2%,QB
27,Daniel Jones (NYG),232,361,64.3,2428,6.7,10,7,22,62,298,2,3,11,174.6,15.9,13.6%,QB
28,Sam Darnold (CAR),243,406,59.9,2527,6.2,9,13,35,48,222,5,4,12,170.5,14.2,5.5%,QB
29,Davis Mills (HOU),263,394,66.8,2664,6.8,16,10,31,18,44,0,1,13,167.0,12.8,3.7%,QB
30,Zach Wilson (NYJ),213,383,55.6,2334,6.1,9,11,44,29,185,4,1,13,162.9,12.5,6.6%,QB
31,Justin Fields (CHI),159,270,58.9,1870,6.9,7,10,36,72,420,2,5,12,136.9,11.4,21.0%,QB
32,Taysom Hill (NO),78,134,58.2,978,7.3,4,5,9,70,374,5,0,12,126.8,10.6,53.2%,QB
33,Jameis Winston (NO),95,161,59.0,1170,7.3,14,3,11,32,166,1,1,7,120.3,17.2,5.2%,QB
34,Trevor Siemian (NO),108,188,57.4,1154,6.1,11,3,9,9,20,1,1,6,93.2,15.5,1.1%,QB
35,Andy Dalton (CHI),149,236,63.1,1515,6.4,8,9,18,16,76,0,1,8,93.1,11.6,1.6%,QB
