RANK,PLAYER,PASSING CMP,PASSING ATT,PASSING PCT,PASSING YDS,PASSING Y/A,PASSING TD,PASSING INT,PASSING SACKS,RUSHING ATT,RUSHING YDS,RUSHING TD,FL,G,FPTS,FPTS/G,ROST,POS
1,Aaron Rodgers (GB),401,610,65.7,4428,7.3,40,7,35,67,369,4,4,16,380.0,23.8,97.2%,QB
2,Matt Ryan (ATL),373,534,69.9,4944,9.3,38,7,37,35,117,0,2,16,347.5,21.7,60.0%,QB
3,Drew Brees (FA),471,673,70.0,5208,7.7,37,15,27,23,20,2,4,16,332.3,20.8,35.7%,QB
4,Andrew Luck (FA),346,545,63.5,4240,7.8,31,13,41,64,341,2,5,15,307.6,20.5,2.2%,QB
5,Kirk Cousins (MIN),406,606,67.0,4917,8.1,25,12,23,34,96,4,3,16,300.7,18.8,74.6%,QB
6,Dak Prescott (DAL),311,459,67.8,3667,8.0,23,4,25,57,282,6,4,16,287.1,17.9,98.5%,QB
7,Matthew Stafford (LAR),388,594,65.3,4327,7.3,24,10,37,37,207,2,2,16,279.7,17.5,97.4%,QB
8,Blake Bortles (FA),368,625,58.9,3905,6.2,23,16,34,58,359,3,6,16,271.1,16.9,0.1%,QB
9,Tyrod Taylor (HOU),269,436,61.7,3023,6.9,17,6,42,95,580,6,2,15,270.9,18.1,5.6%,QB
10,Russell Wilson (SEA),353,546,64.7,4219,7.7,21,11,41,72,259,1,2,16,270.1,16.9,94.2%,QB
11,Derek Carr (LV),357,560,63.8,3937,7.0,28,6,16,39,70,0,3,15,268.4,17.9,74.1%,QB
12,Marcus Mariota (LV),276,451,61.2,3426,7.6,26,9,23,60,349,2,5,15,260.7,17.4,0.1%,QB
13,Andy Dalton (CHI),364,563,64.7,4206,7.5,18,8,41,46,184,4,3,16,260.6,16.3,0.3%,QB
14,Philip Rivers (FA),349,578,60.4,4386,7.6,33,21,36,14,35,0,5,16,259.0,16.2,20.6%,QB
15,Tom Brady (TB),291,432,67.4,3554,8.2,28,2,15,28,64,0,0,12,258.4,21.5,98.9%,QB
16,Jameis Winston (NO),345,567,60.8,4090,7.2,28,18,35,53,165,1,6,16,256.5,16.0,8.0%,QB
17,Cam Newton (CAR),270,510,52.9,3509,6.9,19,14,36,90,359,5,2,15,254.3,17.0,14.2%,QB
18,Ben Roethlisberger (PIT),328,509,64.4,3819,7.5,29,13,17,16,14,1,2,14,252.3,18.0,20.9%,QB
19,Carson Palmer (FA),364,597,61.0,4233,7.1,26,14,40,14,38,0,4,15,243.2,16.2,5.6%,QB
20,Joe Flacco (NYJ),436,672,64.9,4317,6.4,20,15,33,21,58,2,3,16,242.0,15.1,0.6%,QB
21,Alex Smith (FA),328,489,67.1,3502,7.2,15,8,28,48,134,5,4,15,224.9,15.0,5.0%,QB
22,Eli Manning (FA),377,598,63.0,4027,6.7,26,16,21,21,-9,0,4,16,224.1,14.0,2.3%,QB
23,Sam Bradford (FA),395,552,71.6,3877,7.0,20,5,37,20,53,0,5,15,221.9,14.8,0.0%,QB
